Country,Store_Count,Latitude_Avg,Longitude_Avg,Top10_String
AD,1,42.51,1.53,1. Andorra la Vella (1)
AE,144,24.918750000000003,55.13090277777778,"1. Dubai (78), 2. Abu Dhabi (43), 3. Al Ain (8), 4. Sharjah (6), 5. Ras Al Khaimah (3), 6. Ajman (2), 7. Fujairah (2), 8. Al Barsha (1), 9. Umm Al Quwain (1)"
AR,108,-34.276296296296294,-59.31620370370369,"1. Buenos Aires (74), 2. Cordoba (6), 3. Caba (5), 4. Mendoza (5), 5. Pilar (3), 6. Martinez (2), 7. Rosario (2), 8. Tigre (1), 9. Santa Fe (1), 10. Vicente Lopez (1)"
AT,18,48.13333333333334,15.823333333333332,"1. Wien (13), 2. Salzburg (3), 3. Vosendorf (1), 4. Schwechat (1)"
AU,22,-32.50272727272727,150.47545454545454,"1. Sydney (5), 2. Melbourne (5), 3. Brisbane (2), 4. Manly (1), 5. Mt Druitt (1), 6. Parramatta (1), 7. Westmead (1), 8. Broadbeach (1), 9. Chermside (1), 10. Gold Coast (1)"
AW,3,12.536666666666667,-70.04,"1. Oranjestad (2), 2. Noord (1)"
AZ,4,40.2775,49.615,"1. Baku (3), 2. Narimonov (1)"
BE,19,50.904736842105265,4.36578947368421,"1. Brussels (7), 2. Zaventem (3), 3. Antwerp (2), 4. Gent (2), 5. Brugges (1), 6. Leuven (1), 7. Schaerbeek (1), 8. Liege (1), 9. Namur (1)"
BG,5,42.622,23.802,"1. Sofia (4), 2. Burgas (1)"
BH,21,26.222380952380952,50.576666666666675,"1. Manama (8), 2. المنامة (6), 3. البحرين (2), 4. Bahrain (1), 5. الزينج (1), 6. Al Riffa (1), 7. سند (1), 8. Muharraq (1)"
BN,5,4.7780000000000005,114.80199999999999,"1. Bandar Seri Begawan (2), 2. Brunei (1), 3. Brunei Muara District (1), 4. Mukim Kilanas (1)"
BO,4,-17.7625,-63.1875,1. Santa Cruz (4)
BR,102,-23.225686274509805,-46.00470588235294,"1. Sao Paulo (48), 2. Rio de Janeiro (20), 3. Campinas (7), 4. Guarulhos (6), 5. Niteroi (3), 6. Ribeirao Preto (3), 7. Sao Bernardo do Campo (2), 8. Sao Jose do Rio Preto (2), 9. Sao Jose do Campos (2), 10. Sao Jose dos Campos (1)"
BS,10,25.070999999999998,-77.373,1. Nassau (10)
CA,1468,47.6441689373297,-98.63867847411443,"1. Toronto (192), 2. Calgary (130), 3. Vancouver (110), 4. Edmonton (81), 5. Montreal (59), 6. Winnipeg (49), 7. Ottawa (42), 8. Mississauga (39), 9. Surrey (30), 10. Victoria (29)"
CH,61,47.12475409836065,7.929016393442624,"1. Zurich (21), 2. Geneve (7), 3. Basel (5), 4. St. Gallen (4), 5. Bern (4), 6. Lausanne (3), 7. Winterthur (2), 8. Zug (2), 9. Luzern (2), 10. Fribourg (2)"
CL,96,-33.59427083333333,-70.77322916666667,"1. Santiago (83), 2. Concepcion (4), 3. Vina del Mar (3), 4. Rancagua (2), 5. Chillan (1), 6. San Joaquin (1), 7. SANTIAGO (1), 8. Valparaiso (1)"
CN,2734,30.68515727871251,117.10153621068031,"1. 上海市 (542), 2. 北京市 (234), 3. 杭州市 (117), 4. 深圳市 (113), 5. 广州市 (106), 6. Hong Kong (104), 7. 成都市 (98), 8. 苏州市 (90), 9. 南京市 (73), 10. 武汉市 (67)"
CO,11,4.805454545454546,-74.19999999999999,"1. Bogota D.C. (5), 2. BOGOTA D.C. (2), 3. BOGOTA (1), 4. Bogota (1), 5. BOGOTA DC (1), 6. Medellin (1)"
CR,11,9.909999999999998,-84.10454545454544,"1. San Jose (6), 2. Alajuela (2), 3. Guachipelin (1), 4. Moravia (1), 5. SAN JOSE (1)"
CW,3,12.103333333333333,-68.92666666666666,1. Willemstad (3)
CY,10,34.903,33.171,"1. Nicosia (4), 2. Lemesos (3), 3. Limassol (1), 4. Larnaca (1), 5. Paphos (1)"
CZ,28,49.933571428571426,15.010357142857144,"1. Praha (18), 2. Brno (4), 3. Prague (3), 4. Ostrava (2), 5. Praha 5 (1)"
DE,160,50.8678125,9.535625,"1. BERLIN (14), 2. FRANKFURT AM MAIN (11), 3. MUENCHEN (10), 4. HAMBURG (8), 5. Berlin (6), 6. Frankfurt (6), 7. Hamburg (5), 8. DUESSELDORF (4), 9. COLOGNE (3), 10. OBERHAUSEN (3)"
DK,21,55.862380952380946,11.52904761904762,"1. Copenhagen (6), 2. Kastrup (3), 3. Frederiksberg (2), 4. Aalborg (1), 5. Aalborg SV (1), 6. Alborg (1), 7. Odense (1), 8. Greve (1), 9. Naestved (1), 10. Aarhus C (1)"
EG,31,29.912903225806446,31.48225806451613,1. Cairo (18)
ES,101,40.13019801980198,-2.432277227722772,"1. Madrid (47), 2. Barcelona (20), 3. Malaga (5), 4. Sevilla (4), 5. Valencia (4), 6. Alicante (2), 7. Mijas Costa (1), 8. Palma (1), 9. San Sebastian (1), 10. Murcia (1)"
FI,8,60.245000000000005,24.93875,"1. Vantaa (4), 2. Helsinki (3), 3. Espoo (1)"
FR,132,47.786212121212124,2.8231818181818187,"1. Paris (60), 2. Lyon (7), 3. Roissy-en-France (6), 4. Marseille (4), 5. Bordeaux (3), 6. Nantes (3), 7. Courbevoie (2), 8. Marignane (2), 9. Orly (2), 10. TREMBLAY EN FRANCE (2)"
GB,901,52.48641509433963,-1.3841176470588237,"1. London (195), 2. Manchester (25), 3. Edinburgh (20), 4. Glasgow (17), 5. Birmingham (17), 6. Cardiff (14), 7. Sheffield (12), 8. Liverpool (12), 9. Bristol (12), 10. Belfast (11)"
GR,28,37.72678571428571,24.073571428571427,"1. Athens (14), 2. Heraklion (3), 3. Aghia Paraskevi (2), 4. Thessaloniki (2), 5. Chalandri (1), 6. Glyfada (1), 7. Kalithea (1), 8. Piraeus (1), 9. Mykonos (1), 10. Rhodes (1)"
GT,7,14.565714285714282,-90.48000000000002,"1. Guatemala (4), 2. Guatemala City (2), 3. San Jose Pinula (1)"
HU,16,47.498125,19.06,1. Budapest (16)
ID,268,-5.928805970149254,108.05626865671643,"1. Jakarta (123), 2. Surabaya (16), 3. Tangerang (14), 4. Bandung (10), 5. Bogor (9), 6. Medan (9), 7. Bali (8), 8. Denpasar (6), 9. Bekasi (6), 10. Jakarta Utara (5)"
IE,73,53.13712328767124,-6.681780821917808,"1. Dublin (46), 2. Cork (6), 3. Limerick (3), 4. Dublin 1 (2), 5. Bray (1), 6. Cabinteely Dublin (1), 7. Swords (1), 8. Newbridge (1), 9. Malahide (1), 10. Howth (1)"
IN,88,20.68227272727273,75.56034090909091,"1. Mumbai (32), 2. New Delhi (16), 3. Bangalore (10), 4. Pune (8), 5. Gurgaon (7), 6. Hyderabad (6), 7. Chennai (5), 8. Delhi (2), 9. Navi Mumbai (1), 10. Noida (1)"
JO,17,31.882941176470588,35.811764705882354,"1. Amman (9), 2. عمان (7), 3. Irbid (1)"
JP,1237,35.46611156022635,137.5712287793048,"1. Yokohama (48), 2. Osaka (46), 3. Nagoya (45), 4. Chiyoda-ku (42), 5. Minato-ku (38), 6. Fukuoka (29), 7. Shibuya-ku (28), 8. Kyoto (26), 9. Shinjuku-ku (24), 10. Sapporo (23)"
KH,4,11.557500000000001,104.9,1. Phnom Penh (4)
KR,993,36.775907258064514,127.44390120967742,"1. Seoul (243), 2. 서울 (136), 3. Busan (67), 4. Daegu (38), 5. Daejeon (30), 6. Incheon (29), 7. Gwangju (27), 8. 경기도 (24), 9. Ulsan (16), 10. 부산 (16)"
KW,106,29.263113207547168,48.00103773584906,"1. مدينة الكويت (74), 2. Salmiya (4), 3. Khaldiya (4), 4. Egaila (2), 5. Kuwait (2), 6. Hawally (2), 7. Abu Halifa (1), 8. Egella (1), 9. Mubarak Al-Kabeer (1), 10. Masela (1)"
KZ,8,45.20625,75.545,"1. Almaty (5), 2. Astana (2), 3. Mega Park (1)"
LB,29,33.8696551724138,35.535172413793106,"1. Beirut (12), 2. Hazmieh (2), 3. بيروت (2), 4. Mansourieh (1), 5. Nabatieh (1), 6. Saida (1), 7. اشرفية (1), 8. جال الديب (1), 9. جناح (1), 10. جية (1)"
LU,2,49.585,6.165,"1. Berchem (1), 2. Luxembourg-Findel (1)"
MA,9,33.09444444444445,-7.699999999999999,"1. Casablanca (7), 2. Marrakech (1), 3. Marrakesh (1)"
MC,2,43.735,7.425,1. Monaco (2)
MX,579,21.121243523316064,-100.16642487046632,"1. Mexico City (180), 2. Guadalajara (38), 3. Monterrey (38), 4. Mexico (30), 5. Cancun (14), 6. Puebla (12), 7. Leon (11), 8. Tijuana (10), 9. Mexico DF (9), 10. Puerto Vallarta (7)"
MY,234,3.392991452991453,102.86696581196583,"1. Kuala Lumpur (61), 2. Petaling Jaya (25), 3. Penang (13), 4. Johor Bahru (11), 5. Kota Kinabalu (9), 6. Subang Jaya (9), 7. Selangor (8), 8. Sepang (5), 9. Ipoh (5), 10. Melaka (5)"
NL,59,52.182711864406784,5.002542372881358,"1. Amsterdam (15), 2. Schiphol (6), 3. Den Haag (4), 4. Utrecht (4), 5. Rotterdam (3), 6. Schipol (2), 7. Eindhoven (2), 8. Groningen (2), 9. Dordrecht (1), 10. Zwolle (1)"
NO,17,60.55823529411765,9.77941176470588,"1. Oslo (7), 2. Bergen (2), 3. Trondheim (2), 4. Jessheim (1), 5. Sandvika (1), 6. Gardermoen (1), 7. Drammen (1), 8. Stavanger (1), 9. Stjørdal (1)"
NZ,24,-39.13666666666666,174.1654166666667,"1. Auckland (11), 2. Hamilton (2), 3. Wellington (2), 4. Dunedin (1), 5. Invercargill (1), 6. Napier (1), 7. Nelson (1), 8. Rotorua (1), 9. Southland (1), 10. Taranaki (1)"
OM,12,24.387500000000003,57.68,"1. مسقط (6), 2. Muscat (6)"
PA,5,8.992,-79.518,"1. Panama (4), 2. Panama City (1)"
PE,89,-12.062808988764047,-76.65898876404493,"1. Lima (68), 2. Arequipa (5), 3. Cusco (2), 4. Trujillo (2), 5. Piura (2), 6. Cajamarca (1), 7. Ica (1), 8. Huancayo (1), 9. Chiclayo (1), 10. Breña (1)"
PH,298,14.171409395973154,121.27127516778522,"1. Quezon City (46), 2. Makati City (35), 3. Manila (19), 4. Taguig City (18), 5. Pasig City (18), 6. Mandaluyong City (12), 7. Makati (10), 8. Cebu City (9), 9. Pasay City (9), 10. Muntinlupa City (7)"
PL,53,52.12018867924528,18.86452830188679,"1. Warszawa (14), 2. Wrocław (6), 3. Poznań (5), 4. Kraków (4), 5. Warsaw (4), 6. Gdańsk (3), 7. Gdynia (3), 8. Katowice (3), 9. Poznan (3), 10. Szczecin (3)"
PR,24,18.389583333333334,-66.08208333333333,"1. San Juan (10), 2. Carolina (4), 3. Guaynabo (3), 4. Bayamon (2), 5. Caguas (1), 6. Condado (1), 7. Dorado (1), 8. Fajardo (1), 9. Ponce (1)"
PT,11,38.94454545454545,-9.142727272727273,"1. Lisboa (5), 2. Lisbon (1), 3. Almada (1), 4. Amadora (1), 5. Carnaxide (1), 6. Cascais (1), 7. Vila Nova de Gaia Porto (1)"
QA,18,25.292777777777776,51.458333333333336,"1. Doha (11), 2. الدوحة (6), 3. Abu Hamour (1)"
RO,27,44.793703703703706,25.452222222222222,"1. Bucharest (15), 2. Timisoara (3), 3. Constanta (2), 4. Iasi City (2), 5. Brasov (1), 6. Cluj (1), 7. Cluj-Napoca (1), 8. Craiova (1), 9. Ploiesti (1)"
RU,109,55.85055045871559,38.181926605504586,"1. Moscow (74), 2. Saint-Petersburg (7), 3. Saint Petersburg (4), 4. Ekaterinburg (3), 5. Rostov-on-Don (3), 6. Krasnodar (2), 7. Tyumen (2), 8. Kotelniki (2), 9. St Petersburg (2), 10. Yekaterinburg (1)"
SA,102,24.06098039215686,44.610686274509796,"1. Riyadh (21), 2. الرياض (18), 3. Jeddah (12), 4. جدة (10), 5. RIYADH (9), 6. المدينة المنورة (4), 7. DAMMAM (4), 8. الخبر (3), 9. JEDDAH (2), 10. الدمام (2)"
SE,18,59.356111111111105,17.583333333333332,"1. Stockholm (6), 2. Stockholm - Arlanda (2), 3. Kista (1), 4. Soderby (1), 5. Sollentuna (1), 6. Solna (1), 7. Stolkholm - Arlanda (1), 8. Taby (1), 9. Täby (1), 10. Uppsala (1)"
SG,130,1.3131538461538463,103.84446153846156,"1. Singapore (127), 2. singapore (2), 3. Sentosa Island (1)"
SK,3,48.14333333333334,17.136666666666667,1. Bratislava (3)
SV,11,13.719090909090909,-89.25454545454546,"1. San Salvador (5), 2. Antiguo Cuscatlan (2), 3. SAN SALVADOR (2), 4. La Libertad (1), 5. Santa Ana (1)"
TH,289,13.717993079584774,100.55048442906575,"1. Bangkok (73), 2. Muang (16), 3. Patumwan (12), 4. Wattana (12), 5. Bangrak (7), 6. Bangkapi (6), 7. Pathumwan (5), 8. Klongtoey (5), 9. Banglamung (5), 10. Huaykwang (5)"
TR,326,39.918926380368106,30.168834355828224,"1. Istanbul (144), 2. Ankara (45), 3. Izmir (20), 4. Antalya (17), 5. Bursa (12), 6. Adana (8), 7. Kocaeli (8), 8. Istanbul - Avrupa (8), 9. Mugla (5), 10. Aydin (5)"
TT,3,10.493333333333332,-61.46333333333333,"1. Chaguanas (1), 2. Port of Spain (1), 3. San Fernando (1)"
TW,394,24.441675126903554,121.10302030456852,"1. Taipei City (126), 2. New Taipei City (60), 3. Taichung City (42), 4. Kaohsiung City (33), 5. Tainan City (31), 6. Taoyuan City (17), 7. Hsinchu City (16), 8. Zhongli City (7), 9. Chiayi City (6), 10. Zhubei City (5)"
US,13608,37.71123383303939,-98.19272560258672,"1. New York (232), 2. Chicago (180), 3. Seattle (156), 4. Las Vegas (156), 5. Houston (154), 6. San Diego (135), 7. Los Angeles (127), 8. Portland (117), 9. Phoenix (105), 10. Dallas (93)"
VN,25,13.239600000000001,106.48560000000002,"1. Thành Phố Hồ Chí Minh (17), 2. Hà Nội (6), 3. Ho Chi Minh (2)"
ZA,3,-25.986666666666665,28.143333333333334,"1. Johannesburg (1), 2. Menlyn (1), 3. Midrand (1)"
